Id,OSM_Id,Longitude,Latitude,Construction material,Age of construction,Number of Storeys,Number of basements,Height of the ground floor,Occupancy,Position within the block,Vertical irregularities,Horizontal irregularities,Roof covering,GEM Taxonomy,Image Quality,Image filename or link
390,226740038,-9.1693224,38.7553731,ADO,YPRE:1960,HEX:2,HBEX:0,,RES,BPD,IRVO,IRHO,TMTO,ADO/HEX:2+HBEX:0/YPRE:1960/RES/BPD/IRHO+IRVO/TMTO,Bad,"https://www.google.com/maps/@38.7553731,-9.1693224,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
390,226740038,-9.1693224,38.7553731,ADO,YPRE:1960,HEX:2,HBEX:0,,RES,BPD,IRVO,IRHO,TMTO,ADO/HEX:2+HBEX:0/YPRE:1960/RES/BPD/IRHO+IRVO/TMTO,Bad,226740038_390_0.jpg
213,205772956,-9.1468249,38.7550273,MUR,YBET:1960-1985,HEX:4,HBEX:0,,RES,BP2,POP,IRHO,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/RES/BP2/IRHO+POP/RMT1,Acceptable,"https://www.google.com/maps/@38.7550273,-9.1468249,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
579,291744653,-9.1410282,38.7482296,MUR,YBET:1960-1985,HEX:7,HBEX:1,,MIX,BP2,IRVO,IRHO,RMT1,MUR/HEX:7+HBEX:1/YBET:1960-1985/MIX/BP2/IRHO+IRVO/RMT1,Excellent,"https://www.google.com/maps/@38.7482296,-9.1410282,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
598,303371900,-9.145608,38.7501892,MUR,YBET:1960-1985,HEX:1,HBEX:0,,EDU,BPD,IRVO,IRHO,RMT1,MUR/HEX:1+HBEX:0/YBET:1960-1985/EDU/BPD/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7501892,-9.145608,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
599,303925204,-9.1482969,38.7514595,MUR,YBET:1960-1985,HEX:4,,,,BPD,,,,MUR/HEX:4/YBET:1960-1985/BPD,Bad,"https://www.google.com/maps/@38.7514595,-9.1482969,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
600,303925205,-9.1477586,38.7506843,MUR,YBET:1960-1985,HEX:4,HBEX:0,,RES,BP2,IRVO,IRHO,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/RES/BP2/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7506843,-9.1477586,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
601,303925206,-9.1477067,38.7504741,MUR,YBET:1960-1985,HEX:4,HBEX:0,,RES,BP2,IRVO,IRHO,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/RES/BP2/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7504741,-9.1477067,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
602,303925207,-9.1477889,38.7513589,MUR,YBET:1960-1985,HEX:4,HBEX:0,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7513589,-9.1477889,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
605,303925217,-9.1447959,38.7514781,MUR,YBET:1960-1985,HEX:3,HBEX:0,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:3+HBEX:0/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7514781,-9.1447959,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
558,246308365,-9.132211,38.7478781,MUR,YBET:1960-1985,HEX:1,,,COM,,,,,MUR/HEX:1/YBET:1960-1985/COM,Excellent,"https://www.google.com/maps/@38.7478781,-9.132211,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
2125,895895711,-9.1302463,38.7523188,MUR,YBET:1960-1985,HEX:3,,,OCO,,,,,MUR/HEX:3/YBET:1960-1985/OCO,Acceptable,"https://www.google.com/maps/@38.7523188,-9.1302463,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
597,303371899,-9.1460243,38.7504082,MUR,YBET:1960-1985,HEX:2,,,EDU,,,,,MUR/HEX:2/YBET:1960-1985/EDU,Acceptable,"https://www.google.com/maps/@38.7504082,-9.1460243,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
603,303925208,-9.1478407,38.7516179,MUR,YBET:1960-1985,HEX:4,,,RES,,,,,MUR/HEX:4/YBET:1960-1985/RES,Acceptable,"https://www.google.com/maps/@38.7516179,-9.1478407,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
604,303925210,-9.1469375,38.7509232,MUR,YBET:1960-1985,HEX:3,,,RES,,,,,MUR/HEX:3/YBET:1960-1985/RES,Acceptable,"https://www.google.com/maps/@38.7509232,-9.1469375,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
569,277526677,-9.1433609,38.755648,MUR,YBET:1960-1985,HEX:4,,,MIX,,,,,MUR/HEX:4/YBET:1960-1985/MIX,Excellent,"https://www.google.com/maps/@38.755648,-9.1433609,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
566,277526674,-9.1434922,38.7558323,MUR,YBET:1960-1985,HEX:4,,,COM,,,,,MUR/HEX:4/YBET:1960-1985/COM,Acceptable,"https://www.google.com/maps/@38.7558323,-9.1434922,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
567,277526675,-9.143523,38.755926,MUR,YBET:1960-1985,HEX:2,HBEX:0,,OCO,BP2,POP,IRHO,RMT1,MUR/HEX:2+HBEX:0/YBET:1960-1985/OCO/BP2/IRHO+POP/RMT1,Acceptable,"https://www.google.com/maps/@38.755926,-9.143523,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
568,277526676,-9.1434126,38.7557474,MUR,YBET:1960-1985,HEX:4,,,MIX,,,,,MUR/HEX:4/YBET:1960-1985/MIX,Excellent,"https://www.google.com/maps/@38.7557474,-9.1434126,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
223,206457107,-9.1476411,38.7545401,MUR,YBET:1960-1985,HEX:4,HBEX:0,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Bad,"https://www.google.com/maps/@38.7545401,-9.1476411,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
611,303925235,-9.1489596,38.7529095,MUR,YBET:1960-1985,HEX:4,HBEX:1,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:4+HBEX:1/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7529095,-9.1489596,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
612,303925236,-9.1489603,38.7535402,MUR,YBET:1960-1985,HEX:4,HBEX:0,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:4+HBEX:0/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Bad,"https://www.google.com/maps/@38.7535402,-9.1489603,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
613,303925237,-9.149344,38.7534995,MUR,YBET:1960-1985,HEX:4,HBEX:1,,RES,BP2,IRVO,IRHO,RMT1,MUR/HEX:4+HBEX:1/YBET:1960-1985/RES/BP2/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7534995,-9.149344,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
614,303925238,-9.1483238,38.7537727,MUR,YBET:1985-2000,HEX:3,HBEX:0,,RES,BP2,IRVO,IRHO,RMT1,MUR/HEX:3+HBEX:0/YBET:1985-2000/RES/BP2/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7537727,-9.1483238,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
615,303925239,-9.1481431,38.7534417,MUR,YBET:1960-1985,HEX:3,HBEX:1,,RES,BP2,IRVO,IRHO,RMT1,MUR/HEX:3+HBEX:1/YBET:1960-1985/RES/BP2/IRHO+IRVO/RMT1,Excellent,"https://www.google.com/maps/@38.7534417,-9.1481431,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
616,303925240,-9.1477335,38.7535499,MUR,YBET:1960-1985,HEX:3,HBEX:1,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:3+HBEX:1/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7535499,-9.1477335,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
618,303925242,-9.1484312,38.7539721,MUR,YBET:1960-1985,HEX:3,HBEX:1,,RES,BP2,POP,IRHO,RMT1,MUR/HEX:3+HBEX:1/YBET:1960-1985/RES/BP2/IRHO+POP/RMT1,Acceptable,"https://www.google.com/maps/@38.7539721,-9.1484312,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
619,303925243,-9.149373,38.7542935,MUR,YBET:1960-1985,HEX:4,HBEX:1,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:4+HBEX:1/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Acceptable,"https://www.google.com/maps/@38.7542935,-9.149373,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
620,303925244,-9.1493263,38.7544581,MUR,YBET:1960-1985,HEX:4,HBEX:1,,RES,BP1,IRVO,IRHO,RMT1,MUR/HEX:4+HBEX:1/YBET:1960-1985/RES/BP1/IRHO+IRVO/RMT1,Bad,"https://www.google.com/maps/@38.7544581,-9.1493263,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
621,303925245,-9.1484262,38.7542521,MUR,YBET:1960-1985,HEX:6,HBEX:0,,RES,BP2,IRVO,IRHO,RMN,MUR/HEX:6+HBEX:0/YBET:1960-1985/RES/BP2/IRHO+IRVO/RMN,Acceptable,"https://www.google.com/maps/@38.7542521,-9.1484262,3a,75y,90t/data=!3m6!1e1!3m4!1s!2e0!7i13312!8i6656"
